Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks
abstrak,,2,2,6,0.271544,0.284018,36.273646,2,0,0.00143,0.00143,0.000941
skripsi,,2,2,5,0.26259,0.273402,22.041686,2,0,0.000556,0.000556,0.00097
televisi,,3,3,5,0.287779,0.302207,29.939374,1,0,0.001896,0.001896,0.00108
agresivitas,,3,3,5,0.254948,0.266895,65.762797,2,0,0.00023,0.00023,0.001365
berpacaran,,4,4,6,0.234225,0.247222,19.676614,2,0,0.000097,0.000097,0.001807
jenis kelamin,,7,7,5,0.322771,0.344064,1021.473197,6,0,0.003725,0.003725,0.002555
pola asuh otoriter,,4,4,5,0.296949,0.314117,493.864808,2,0,0.00165,0.00165,0.00154
calon guru,,8,8,5,0.333587,0.357458,266.913369,5,0,0.009487,0.009487,0.001997
kata,,2,2,5,0.308234,0.32382,78.24028,6,0,0.003171,0.003171,0.000951
kitab suci,,2,2,6,0.271207,0.282648,2.345177,6,0,0.001344,0.001344,0.000965
kecerdasan emosional,,4,4,4,0.349282,0.370053,146.833299,3,0,0.016423,0.016423,0.001145
studi deskriptif,,9,9,5,0.313305,0.337253,631.815435,5,0,0.005003,0.005003,0.002718
perkawinan,,2,2,5,0.295746,0.312443,14.266064,5,0,0.003757,0.003757,0.000758
translasi,,5,5,5,0.316932,0.337747,3.349741,0,0,0.009347,0.009347,0.001236
pluralisme,,4,4,5,0.356098,0.378196,233.382201,6,0,0.015021,0.015021,0.001179
akurasi,,3,3,5,0.311522,0.328006,82.570445,5,0,0.003717,0.003717,0.001104
alat peraga,,8,8,5,0.354082,0.38398,19.469477,3,0,0.034537,0.034538,0.001601
siniar,,6,6,5,0.306938,0.325114,83.958011,2,0,0.003913,0.003913,0.001766
vlog,,5,5,5,0.366221,0.390373,56.416461,2,0,0.019279,0.019279,0.00126
aljabar,,6,6,5,0.333587,0.358409,6.077329,0,0,0.023435,0.023436,0.001271
altruisme,,5,5,5,0.277743,0.294939,36.185976,2,0,0.001481,0.001481,0.001588
kekerasan,,5,5,5,0.292,0.31172,64.70671,2,0,0.001922,0.001922,0.001505
pola asuh demokratis,,4,4,5,0.274608,0.289498,42.21197,2,0,0.000736,0.000736,0.001498
penerimaan diri,,3,3,5,0.257647,0.271309,39.753609,6,0,0.000385,0.000385,0.001317
doa,,4,4,5,0.332322,0.34844,27.88002,2,0,0.006869,0.006869,0.001089
nilai pendidikan,,4,4,5,0.312188,0.329833,51.468294,6,0,0.00364,0.00364,0.001286
nonfiksi,,4,4,6,0.290066,0.307154,12.287699,6,0,0.002684,0.002684,0.001256
komik,,10,10,4,0.380208,0.407725,123.483529,3,0,0.032932,0.032932,0.002111
serial film,,5,5,5,0.312411,0.33105,51.911206,6,0,0.004825,0.004825,0.001367
powerpoint,,7,7,5,0.387611,0.414536,326.044664,3,0,0.039534,0.039534,0.001611
budaya,,9,9,4,0.380539,0.408866,205.847094,3,0,0.032197,0.032197,0.002046
segitiga,,6,6,5,0.33308,0.358942,12.528374,3,0,0.019431,0.019431,0.001282
ar,,6,6,5,0.337963,0.362785,29.476592,1,0,0.017104,0.017104,0.001437
