"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
1,5.27777777777778,0.261437908496732,18,"lkpd-el","lkpd-el; lkpd; reaksi redoks; quizizz; inkuiri; aplikasi; problem based learning; savi; etnokimia; korosi; pogil; sel volta; ikatan kovalen; larutan asam basa; hasil belajar; tts; wizer.me; kimia unsur","lkpd-el; lkpd; reaksi redoks; quizizz; inkuiri; aplikasi; problem based learning; savi; etnokimia; korosi","PKim"
2,5.55555555555556,0.611111111111111,9,"praktikum","praktikum; nanoteknologi; modul; nanopartikel; bioreduktor; green chemistry; green synthesis; digital; komik","praktikum; nanoteknologi; modul; nanopartikel; bioreduktor; green chemistry; green synthesis; digital; komik","PKim"
3,3,1,4,"antibakteri","antibakteri; bioteknologi; ekstrak etanol; fraksi n-heksan","antibakteri; bioteknologi; ekstrak etanol; fraksi n-heksan","PKim"
4,3.71428571428571,0.252747252747253,14,"modul-el","modul-el; kurikulum merdeka; discovery learning; asam basa; hakikat ilmu kimia; kerja ilmiah; keaktifan; perkembangan teori atom; articulate stroyline; bahan ajar; laju reaksi; bookwidgets; larutan penyangga; senyawa hidrokarbon","modul-el; kurikulum merdeka; discovery learning; asam basa; hakikat ilmu kimia; kerja ilmiah; keaktifan; perkembangan teori atom; articulate stroyline; bahan ajar","PKim"
5,3.15384615384615,0.205128205128205,13,"ar","ar; kimia hijau; modul ajar; bentuk molekul; media pembelajaran; praktikum virtual; pembelajaran berbasis projek; assemblr edu; hologram; petunjuk praktikum; sintesis plastik; hidrokarbon; sistem koloid","ar; kimia hijau; modul ajar; bentuk molekul; media pembelajaran; praktikum virtual; pembelajaran berbasis projek; assemblr edu; hologram; petunjuk praktikum","PKim"
6,3,1,4,"faktor pengaruh laju reaksi","faktor pengaruh laju reaksi; instrumen; miskonsepsi; penilaian diagnostik","faktor pengaruh laju reaksi; instrumen; miskonsepsi; penilaian diagnostik","PKim"
7,4.5,1,4,"hidrolisis garam","hidrolisis garam; multimedia; ispring suite; powerpoint","hidrolisis garam; multimedia; ispring suite; powerpoint","PKim"
8,4,1,5,"kartu","kartu; media; prestasi belajar; question card; team quiz","kartu; media; prestasi belajar; question card; team quiz","PKim"
9,3,1,4,"laboratorium virtual","laboratorium virtual; pemahaman konsep; pergeseran kesetimbangan kimia; website","laboratorium virtual; pemahaman konsep; pergeseran kesetimbangan kimia; website","PKim"
